# cjxl v0.12.0, generated 2026-02-18
corpus,image,width,height,distance,effort,size_bytes,ssimulacra2,butteraugli,enc_wall_s,enc_user_s,enc_sys_s
clic2025,097cb426,1024,1024,0.25,7,353751,93.64182967,0.4720599949,0.16,0.42,0.23
clic2025,097cb426,1024,1024,0.25,8,378965,94.06946011,0.3622110784,1.06,1.22,0.47
clic2025,097cb426,1024,1024,0.5,5,204438,90.13240614,1.0002558231,0.07,0.23,0.23
clic2025,097cb426,1024,1024,0.5,6,204286,90.09591558,0.9969802499,0.07,0.30,0.25
clic2025,097cb426,1024,1024,0.5,7,204534,90.05061292,0.9987636805,0.16,0.45,0.14
clic2025,097cb426,1024,1024,0.5,8,225378,91.37188550,0.7134129405,1.07,1.12,0.58
clic2025,097cb426,1024,1024,1.0,5,111125,82.24688243,2.1291055679,0.07,0.20,0.26
clic2025,097cb426,1024,1024,1.0,6,111840,82.28004746,2.1357820034,0.10,0.47,0.23
clic2025,097cb426,1024,1024,1.0,7,111899,82.28170620,2.1352758408,0.19,0.47,0.29
clic2025,097cb426,1024,1024,1.0,8,124372,85.20183301,1.4302469492,1.04,1.17,0.57
clic2025,097cb426,1024,1024,1.5,5,67847,74.58865430,2.5861461163,0.06,0.18,0.24
clic2025,097cb426,1024,1024,1.5,6,69093,74.98323257,2.5883440971,0.10,0.33,0.35
clic2025,097cb426,1024,1024,1.5,7,69199,74.97374056,2.5713152885,0.19,0.42,0.33
clic2025,097cb426,1024,1024,1.5,8,80219,79.08393824,2.2801370621,1.03,1.18,0.52
clic2025,097cb426,1024,1024,2.0,5,47899,68.19877088,3.0130093098,0.07,0.26,0.21
clic2025,097cb426,1024,1024,2.0,6,49510,69.15589947,3.0103158951,0.10,0.35,0.31
clic2025,097cb426,1024,1024,2.0,7,49537,69.14341024,3.0103154182,0.19,0.37,0.38
clic2025,097cb426,1024,1024,2.0,8,54407,72.44875758,2.6888210773,1.05,1.02,0.70
clic2025,097cb426,1024,1024,2.5,5,36566,62.76338404,3.5719351768,0.07,0.20,0.25
clic2025,097cb426,1024,1024,2.5,6,38198,64.09036551,3.3140225410,0.10,0.27,0.45
clic2025,097cb426,1024,1024,2.5,7,38199,64.07740769,3.3140254021,0.19,0.40,0.34
clic2025,097cb426,1024,1024,2.5,8,38540,65.22116324,3.3571910858,1.02,1.17,0.51
clic2025,097cb426,1024,1024,3.0,5,29423,58.66120510,3.8140549660,0.07,0.16,0.29
clic2025,097cb426,1024,1024,3.0,6,31090,59.98698252,3.7970147133,0.10,0.33,0.35
clic2025,097cb426,1024,1024,3.0,7,31151,60.00102967,3.7807536125,0.20,0.37,0.47
clic2025,097cb426,1024,1024,3.0,8,29535,59.34848109,3.7738184929,1.03,1.23,0.57
clic2025,097cb426,1024,1024,4.0,5,20901,50.24503074,4.5904207230,0.07,0.14,0.34
clic2025,097cb426,1024,1024,4.0,6,22525,53.11241381,4.3763418198,0.10,0.43,0.28
clic2025,097cb426,1024,1024,4.0,7,22618,53.12796907,4.0222439766,0.20,0.39,0.47
clic2025,097cb426,1024,1024,4.0,8,21030,51.51943928,4.2242636681,1.04,1.15,0.73
clic2025,097cb426,1024,1024,5.0,5,17437,45.45619445,4.9619932175,0.06,0.13,0.32
clic2025,097cb426,1024,1024,5.0,6,18533,47.53622613,4.6665005684,0.09,0.38,0.25
clic2025,097cb426,1024,1024,5.0,7,18605,47.51081740,4.6033663750,0.19,0.35,0.48
clic2025,097cb426,1024,1024,5.0,8,16954,45.50482960,4.9292354584,1.02,1.35,0.49
clic2025,0c49a5cc,1024,1024,0.25,5,532241,93.43002602,0.4650716782,0.08,0.18,0.36
clic2025,0c49a5cc,1024,1024,0.25,6,530439,93.44202237,0.4622141719,0.09,0.35,0.29
clic2025,0c49a5cc,1024,1024,0.25,7,530032,93.58613661,0.4648318291,0.18,0.45,0.26
clic2025,0c49a5cc,1024,1024,0.25,8,541019,93.50819218,0.3603563905,1.04,1.02,0.69
clic2025,0c49a5cc,1024,1024,0.5,5,328709,91.01072707,0.9529623389,0.08,0.24,0.26
clic2025,0c49a5cc,1024,1024,0.5,6,326337,91.06279095,0.9512224197,0.08,0.33,0.25
clic2025,0c49a5cc,1024,1024,0.5,7,326138,91.19379650,0.9518163800,0.18,0.36,0.34
clic2025,0c49a5cc,1024,1024,0.5,8,334975,91.45696526,0.7449433208,1.03,1.02,0.68
clic2025,0c49a5cc,1024,1024,1.0,5,188295,86.43771570,1.3957396746,0.07,0.18,0.31
clic2025,0c49a5cc,1024,1024,1.0,6,187664,85.98075457,1.3883060217,0.11,0.32,0.43
clic2025,0c49a5cc,1024,1024,1.0,7,187504,87.23051930,1.3851445913,0.19,0.55,0.25
clic2025,0c49a5cc,1024,1024,1.0,8,182552,87.31184419,1.2545850277,1.06,1.18,0.62
clic2025,0c49a5cc,1024,1024,1.5,5,138711,82.48419844,1.7839715481,0.07,0.17,0.29
clic2025,0c49a5cc,1024,1024,1.5,6,139115,82.70525313,1.8150051832,0.11,0.24,0.49
clic2025,0c49a5cc,1024,1024,1.5,7,139053,84.02635140,1.8080054522,0.19,0.39,0.42
clic2025,0c49a5cc,1024,1024,1.5,8,131438,83.68929819,1.8011001348,1.04,1.07,0.66
clic2025,0c49a5cc,1024,1024,2.0,5,112986,79.43079276,2.3475933075,0.07,0.18,0.31
clic2025,0c49a5cc,1024,1024,2.0,6,113100,80.11735650,2.2449569702,0.10,0.34,0.39
clic2025,0c49a5cc,1024,1024,2.0,7,113078,80.90166605,2.2483034134,0.19,0.40,0.42
clic2025,0c49a5cc,1024,1024,2.0,8,106071,80.21729459,2.1874165535,1.05,1.21,0.54
clic2025,0c49a5cc,1024,1024,2.5,5,95042,77.04004592,2.7530629635,0.07,0.24,0.23
clic2025,0c49a5cc,1024,1024,2.5,6,96168,77.21272244,2.7969748974,0.10,0.28,0.39
clic2025,0c49a5cc,1024,1024,2.5,7,96225,77.91989146,2.7860932350,0.19,0.37,0.38
clic2025,0c49a5cc,1024,1024,2.5,8,89434,77.04289924,2.8854138851,1.07,1.28,0.52
clic2025,0c49a5cc,1024,1024,3.0,5,83892,74.43793391,3.0893321037,0.07,0.17,0.31
clic2025,0c49a5cc,1024,1024,3.0,6,85660,74.95137703,3.1638288498,0.10,0.38,0.34
clic2025,0c49a5cc,1024,1024,3.0,7,85826,75.47677941,3.1638801098,0.21,0.43,0.55
clic2025,0c49a5cc,1024,1024,3.0,8,79223,74.07162536,3.1104214191,1.04,1.28,0.66
clic2025,0c49a5cc,1024,1024,4.0,5,67212,67.64169638,4.4624176025,0.07,0.27,0.20
clic2025,0c49a5cc,1024,1024,4.0,6,69834,70.18776923,4.3114457130,0.10,0.34,0.37
clic2025,0c49a5cc,1024,1024,4.0,7,70342,70.43159382,4.2906384468,0.22,0.44,0.59
clic2025,0c49a5cc,1024,1024,4.0,8,64051,68.20559656,3.9790642262,1.10,1.22,0.91
clic2025,0c49a5cc,1024,1024,5.0,5,57122,63.09989303,4.6040711403,0.07,0.25,0.22
clic2025,0c49a5cc,1024,1024,5.0,6,58656,65.11620056,4.5548701286,0.09,0.34,0.31
clic2025,0c49a5cc,1024,1024,5.0,7,58917,65.44207087,4.4960765839,0.21,0.44,0.56
clic2025,0c49a5cc,1024,1024,5.0,8,53134,62.81670308,5.1832985878,1.08,1.19,0.83
clic2025,0d154749,1024,1024,0.25,5,659617,93.71748548,0.5654399395,0.07,0.16,0.30
clic2025,0d154749,1024,1024,0.25,6,659650,93.74149013,0.5654399395,0.08,0.32,0.32
clic2025,0d154749,1024,1024,0.25,7,660657,93.72319158,0.5653803349,0.08,0.48,0.21
clic2025,0d154749,1024,1024,0.25,8,715151,94.25369346,0.4665199518,0.98,1.15,0.60
clic2025,0d154749,1024,1024,0.5,5,463715,90.43710398,0.9669387341,0.07,0.20,0.29
clic2025,0d154749,1024,1024,0.5,6,463757,90.38396153,0.9669386148,0.08,0.30,0.30
clic2025,0d154749,1024,1024,0.5,7,463893,90.40629771,0.9666830897,0.08,0.46,0.22
clic2025,0d154749,1024,1024,0.5,8,509108,91.46192357,0.7488320470,0.98,1.10,0.66
clic2025,0d154749,1024,1024,1.0,5,298469,83.52474927,1.8346240520,0.07,0.21,0.29
clic2025,0d154749,1024,1024,1.0,6,298921,83.51051980,1.7922524214,0.11,0.34,0.44
clic2025,0d154749,1024,1024,1.0,7,298937,83.54513279,1.7926224470,0.11,0.45,0.36
clic2025,0d154749,1024,1024,1.0,8,306635,84.59994975,1.3475663662,1.02,1.19,0.71
clic2025,0d154749,1024,1024,1.5,5,179268,75.70780518,2.3329317570,0.07,0.17,0.32
clic2025,0d154749,1024,1024,1.5,6,180487,75.96727796,2.3602926731,0.10,0.37,0.39
clic2025,0d154749,1024,1024,1.5,7,180425,75.94687897,2.3029057980,0.11,0.34,0.45
clic2025,0d154749,1024,1024,1.5,8,200167,78.10786972,2.0565350056,1.02,1.11,0.73
clic2025,0d154749,1024,1024,2.0,5,124071,70.18615601,2.9501981735,0.07,0.15,0.31
clic2025,0d154749,1024,1024,2.0,6,125588,70.66425393,2.7169947624,0.10,0.33,0.39
clic2025,0d154749,1024,1024,2.0,7,125511,70.64820887,2.7045075893,0.10,0.30,0.44
clic2025,0d154749,1024,1024,2.0,8,127576,70.97202720,2.5707340240,0.99,1.13,0.64
clic2025,0d154749,1024,1024,2.5,5,96693,65.97880334,3.4747791290,0.06,0.28,0.21
clic2025,0d154749,1024,1024,2.5,6,98567,66.62731292,3.3665490150,0.10,0.28,0.42
clic2025,0d154749,1024,1024,2.5,7,98625,66.62269770,3.3802723885,0.10,0.38,0.36
clic2025,0d154749,1024,1024,2.5,8,95511,66.03882437,3.0781226158,1.01,1.21,0.59
clic2025,0d154749,1024,1024,3.0,5,80747,62.13051979,3.6067154408,0.07,0.19,0.29
clic2025,0d154749,1024,1024,3.0,6,82636,63.07414289,3.6033043861,0.10,0.37,0.31
clic2025,0d154749,1024,1024,3.0,7,82638,63.06301263,3.6042690277,0.11,0.39,0.38
clic2025,0d154749,1024,1024,3.0,8,77495,61.50139268,3.6351184845,1.03,1.11,0.74
clic2025,0d154749,1024,1024,4.0,5,62239,51.23458713,4.3813238144,0.07,0.19,0.26
clic2025,0d154749,1024,1024,4.0,6,64092,56.14768050,4.1678242683,0.10,0.34,0.37
clic2025,0d154749,1024,1024,4.0,7,64093,56.15369865,4.1678242683,0.11,0.36,0.41
clic2025,0d154749,1024,1024,4.0,8,59187,53.55492289,4.2500352859,1.03,1.25,0.63
clic2025,0d154749,1024,1024,5.0,5,51105,43.94092908,5.0261573792,0.06,0.19,0.29
clic2025,0d154749,1024,1024,5.0,6,52427,49.87166708,4.7098503113,0.09,0.38,0.27
clic2025,0d154749,1024,1024,5.0,7,52423,49.86623973,4.7107844353,0.10,0.44,0.30
clic2025,0d154749,1024,1024,5.0,8,47724,46.13620505,4.9316172600,1.03,1.15,0.72
clic2025,100a02c2,1024,1024,0.25,5,402344,93.62118266,0.5410677195,0.07,0.19,0.32
clic2025,100a02c2,1024,1024,0.25,6,400686,93.57643750,0.5411613584,0.08,0.36,0.28
clic2025,100a02c2,1024,1024,0.25,7,402327,93.60653824,0.5415205956,0.16,0.42,0.29
clic2025,100a02c2,1024,1024,0.25,8,441698,93.65394286,0.3562641442,1.03,1.13,0.59
clic2025,100a02c2,1024,1024,0.5,5,247063,91.65403059,1.0316944122,0.07,0.20,0.31
clic2025,100a02c2,1024,1024,0.5,6,244685,91.64493891,1.0324792862,0.07,0.28,0.28
clic2025,100a02c2,1024,1024,0.5,7,245957,91.70370556,0.9389162660,0.15,0.36,0.28
clic2025,100a02c2,1024,1024,0.5,8,266823,92.07887792,0.7282390594,1.04,0.99,0.73
clic2025,100a02c2,1024,1024,1.0,5,123018,88.10024437,1.4148746729,0.07,0.19,0.29
clic2025,100a02c2,1024,1024,1.0,6,123540,88.23526793,1.4994037151,0.11,0.32,0.40
clic2025,100a02c2,1024,1024,1.0,7,123659,88.09542491,1.4029362202,0.19,0.38,0.38
clic2025,100a02c2,1024,1024,1.0,8,126088,88.34660549,1.2993588448,1.04,1.12,0.61
clic2025,100a02c2,1024,1024,1.5,5,87597,85.23094407,1.8768856525,0.06,0.19,0.28
clic2025,100a02c2,1024,1024,1.5,6,89106,85.42773659,1.8122968674,0.10,0.27,0.46
clic2025,100a02c2,1024,1024,1.5,7,89048,85.40837634,1.8367210627,0.19,0.38,0.37
clic2025,100a02c2,1024,1024,1.5,8,85564,85.05876019,1.8312535286,1.03,1.07,0.69
clic2025,100a02c2,1024,1024,2.0,5,69427,82.49697974,2.0889685154,0.06,0.13,0.35
clic2025,100a02c2,1024,1024,2.0,6,71277,82.77586267,2.1692686081,0.10,0.25,0.42
clic2025,100a02c2,1024,1024,2.0,7,71229,82.72266285,2.1653988361,0.18,0.41,0.35
clic2025,100a02c2,1024,1024,2.0,8,67154,82.13023708,2.1945831776,1.02,1.21,0.53
clic2025,100a02c2,1024,1024,2.5,5,58584,80.13092823,2.7918593884,0.06,0.16,0.30
clic2025,100a02c2,1024,1024,2.5,6,60550,80.25854437,2.7480893135,0.10,0.35,0.31
clic2025,100a02c2,1024,1024,2.5,7,60569,80.30590668,2.7418789864,0.18,0.33,0.41
clic2025,100a02c2,1024,1024,2.5,8,56420,79.25595018,2.8308460712,1.02,1.08,0.64
clic2025,100a02c2,1024,1024,3.0,5,51811,78.24870782,2.8953251839,0.06,0.18,0.30
clic2025,100a02c2,1024,1024,3.0,6,53799,78.46003878,2.8524076939,0.10,0.28,0.42
clic2025,100a02c2,1024,1024,3.0,7,53789,78.42153883,2.8873665333,0.21,0.26,0.74
clic2025,100a02c2,1024,1024,3.0,8,49553,77.04348591,2.9488828182,1.09,0.94,1.06
clic2025,100a02c2,1024,1024,4.0,5,41974,73.84714930,3.4820442200,0.06,0.19,0.33
clic2025,100a02c2,1024,1024,4.0,6,44692,74.92632340,3.3963439465,0.10,0.29,0.42
clic2025,100a02c2,1024,1024,4.0,7,44739,74.94116042,3.4361617565,0.21,0.52,0.45
clic2025,100a02c2,1024,1024,4.0,8,41364,72.94632530,3.9390740395,1.04,1.18,0.81
clic2025,100a02c2,1024,1024,5.0,5,35912,69.73725347,4.2378315926,0.06,0.16,0.25
clic2025,100a02c2,1024,1024,5.0,6,37708,70.85669794,4.1091566086,0.09,0.31,0.36
clic2025,100a02c2,1024,1024,5.0,7,37697,70.86063420,3.9043767452,0.20,0.42,0.52
clic2025,100a02c2,1024,1024,5.0,8,34775,69.04807549,4.0523219109,1.04,1.12,0.83
clic2025,100f1789,1024,1024,0.25,5,405258,93.64908535,0.4963603020,0.08,0.17,0.34
clic2025,100f1789,1024,1024,0.25,6,405276,93.66232986,0.4964118302,0.07,0.43,0.19
clic2025,100f1789,1024,1024,0.25,7,410765,93.67872311,0.4964118302,0.16,0.37,0.25
clic2025,100f1789,1024,1024,0.25,8,425727,93.97994230,0.3720459938,1.05,1.17,0.54
clic2025,100f1789,1024,1024,0.5,5,256153,89.58060752,0.9762402177,0.07,0.20,0.24
clic2025,100f1789,1024,1024,0.5,6,255954,89.59645100,0.9519046545,0.07,0.34,0.24
clic2025,100f1789,1024,1024,0.5,7,256574,89.57555127,1.0705285072,0.16,0.35,0.25
clic2025,100f1789,1024,1024,0.5,8,274274,90.44349525,0.7418351173,1.02,1.22,0.41
clic2025,100f1789,1024,1024,1.0,5,154233,81.13299349,1.6997737885,0.07,0.17,0.28
clic2025,100f1789,1024,1024,1.0,6,155428,81.17254358,1.6268193722,0.11,0.31,0.41
clic2025,100f1789,1024,1024,1.0,7,155357,81.21011300,1.6252793074,0.18,0.43,0.29
clic2025,100f1789,1024,1024,1.0,8,157646,81.78953173,1.4156429768,1.03,1.21,0.51
clic2025,100f1789,1024,1024,1.5,5,106316,73.35857313,2.2484958172,0.07,0.21,0.29
clic2025,100f1789,1024,1024,1.5,6,108323,73.62645180,2.3191289902,0.10,0.36,0.35
clic2025,100f1789,1024,1024,1.5,7,108054,73.67590366,2.3282620907,0.19,0.46,0.27
clic2025,100f1789,1024,1024,1.5,8,107835,74.07514639,1.9117078781,1.09,1.21,0.54
clic2025,100f1789,1024,1024,2.0,5,76649,66.04117570,2.8559613228,0.06,0.18,0.29
clic2025,100f1789,1024,1024,2.0,6,78741,66.53465530,2.7971918583,0.10,0.36,0.30
clic2025,100f1789,1024,1024,2.0,7,78946,66.64478781,2.7971901894,0.18,0.44,0.26
