# cjxl v0.12.0 lossless, generated 2026-02-20
corpus,image,width,height,effort,size_bytes,pixel_sha256,enc_wall_s,enc_user_s,enc_sys_s
cid22,2887497,512,512,5,191998,1f46bfa6912319340b3d129bffdaf6b779d167dd88a8aeec0cc5b62fa2f29616,0.11,0.13,0.04
cid22,2887497,512,512,6,184767,1f46bfa6912319340b3d129bffdaf6b779d167dd88a8aeec0cc5b62fa2f29616,0.13,0.14,0.05
cid22,2887497,512,512,7,182865,1f46bfa6912319340b3d129bffdaf6b779d167dd88a8aeec0cc5b62fa2f29616,0.16,0.21,0.03
cid22,2887497,512,512,8,180167,1f46bfa6912319340b3d129bffdaf6b779d167dd88a8aeec0cc5b62fa2f29616,0.63,0.67,0.05
cid22,2887497,512,512,9,175702,1f46bfa6912319340b3d129bffdaf6b779d167dd88a8aeec0cc5b62fa2f29616,0.83,0.84,0.15
cid22,2936831,512,512,5,271302,d6f19fc149768442c3a899121ea040041d85e3ab15ee71e09816f412e453c73c,0.10,0.11,0.06
cid22,2936831,512,512,6,266777,d6f19fc149768442c3a899121ea040041d85e3ab15ee71e09816f412e453c73c,0.12,0.13,0.06
cid22,2936831,512,512,7,245705,d6f19fc149768442c3a899121ea040041d85e3ab15ee71e09816f412e453c73c,0.17,0.15,0.09
cid22,2936831,512,512,8,243386,d6f19fc149768442c3a899121ea040041d85e3ab15ee71e09816f412e453c73c,0.67,0.66,0.11
cid22,2936831,512,512,9,239798,d6f19fc149768442c3a899121ea040041d85e3ab15ee71e09816f412e453c73c,0.88,0.90,0.13
cid22,297394,512,512,5,340793,7dfa3cb9c0738fb04fdec57c42e91eb178f39c9dfff829f14972c0864b4b6190,0.12,0.11,0.08
cid22,297394,512,512,6,336035,7dfa3cb9c0738fb04fdec57c42e91eb178f39c9dfff829f14972c0864b4b6190,0.16,0.19,0.06
cid22,297394,512,512,7,330222,7dfa3cb9c0738fb04fdec57c42e91eb178f39c9dfff829f14972c0864b4b6190,0.22,0.17,0.13
cid22,297394,512,512,8,327705,7dfa3cb9c0738fb04fdec57c42e91eb178f39c9dfff829f14972c0864b4b6190,0.68,0.73,0.06
cid22,297394,512,512,9,325889,7dfa3cb9c0738fb04fdec57c42e91eb178f39c9dfff829f14972c0864b4b6190,0.97,1.03,0.09
cid22,3156482,512,512,5,259896,5a85112bfdb24fb097cec151515e388d0c6b3f23b935b6051a46b0f434b5c6e2,0.09,0.13,0.03
cid22,3156482,512,512,6,253587,5a85112bfdb24fb097cec151515e388d0c6b3f23b935b6051a46b0f434b5c6e2,0.11,0.16,0.03
cid22,3156482,512,512,7,237551,5a85112bfdb24fb097cec151515e388d0c6b3f23b935b6051a46b0f434b5c6e2,0.17,0.14,0.10
cid22,3156482,512,512,8,236232,5a85112bfdb24fb097cec151515e388d0c6b3f23b935b6051a46b0f434b5c6e2,0.72,0.73,0.10
cid22,3156482,512,512,9,233728,5a85112bfdb24fb097cec151515e388d0c6b3f23b935b6051a46b0f434b5c6e2,0.95,0.98,0.13
cid22,3316926,512,512,5,217980,ab9f7943ed554a3b6117b9e7d4d87627f65233c0714ca4424674768889f880ae,0.11,0.09,0.09
cid22,3316926,512,512,6,211049,ab9f7943ed554a3b6117b9e7d4d87627f65233c0714ca4424674768889f880ae,0.14,0.15,0.06
cid22,3316926,512,512,7,205911,ab9f7943ed554a3b6117b9e7d4d87627f65233c0714ca4424674768889f880ae,0.19,0.21,0.06
cid22,3316926,512,512,8,202661,ab9f7943ed554a3b6117b9e7d4d87627f65233c0714ca4424674768889f880ae,0.74,0.79,0.06
cid22,3316926,512,512,9,201626,ab9f7943ed554a3b6117b9e7d4d87627f65233c0714ca4424674768889f880ae,0.97,1.05,0.07
cid22,3637739,512,512,5,186209,900dd3f85868bf7a180615e0bace67291351d36d359c941179a546d39c7bb45f,0.10,0.14,0.03
cid22,3637739,512,512,6,179141,900dd3f85868bf7a180615e0bace67291351d36d359c941179a546d39c7bb45f,0.12,0.14,0.04
cid22,3637739,512,512,7,177129,900dd3f85868bf7a180615e0bace67291351d36d359c941179a546d39c7bb45f,0.17,0.20,0.04
cid22,3637739,512,512,8,175338,900dd3f85868bf7a180615e0bace67291351d36d359c941179a546d39c7bb45f,0.68,0.73,0.05
cid22,3637739,512,512,9,173400,900dd3f85868bf7a180615e0bace67291351d36d359c941179a546d39c7bb45f,0.89,0.93,0.10
cid22,3653963,512,512,5,296545,2768833ab333ea1ea1a4b9aef2a90d8247df675c5334a01b362c3b10785a8b97,0.11,0.13,0.04
cid22,3653963,512,512,6,295215,2768833ab333ea1ea1a4b9aef2a90d8247df675c5334a01b362c3b10785a8b97,0.14,0.18,0.04
cid22,3653963,512,512,7,293879,2768833ab333ea1ea1a4b9aef2a90d8247df675c5334a01b362c3b10785a8b97,0.22,0.23,0.07
cid22,3653963,512,512,8,291248,2768833ab333ea1ea1a4b9aef2a90d8247df675c5334a01b362c3b10785a8b97,0.69,0.75,0.04
cid22,3653963,512,512,9,289197,2768833ab333ea1ea1a4b9aef2a90d8247df675c5334a01b362c3b10785a8b97,0.89,0.90,0.14
cid22,373965,512,512,5,250450,53d65447ffe5048ce7cf734ed0b6bbea9ef7e1b8287f64af4bff89acf0641939,0.11,0.14,0.04
cid22,373965,512,512,6,243503,53d65447ffe5048ce7cf734ed0b6bbea9ef7e1b8287f64af4bff89acf0641939,0.13,0.15,0.04
cid22,373965,512,512,7,238975,53d65447ffe5048ce7cf734ed0b6bbea9ef7e1b8287f64af4bff89acf0641939,0.19,0.18,0.09
cid22,373965,512,512,8,235476,53d65447ffe5048ce7cf734ed0b6bbea9ef7e1b8287f64af4bff89acf0641939,0.63,0.71,0.02
cid22,373965,512,512,9,234289,53d65447ffe5048ce7cf734ed0b6bbea9ef7e1b8287f64af4bff89acf0641939,0.89,0.99,0.05
cid22,3762075,512,512,5,205959,d2b83684cd476271aeefcd5bd8b57dc3bde30a091602c245e385a7d681dcf250,0.10,0.10,0.06
cid22,3762075,512,512,6,204298,d2b83684cd476271aeefcd5bd8b57dc3bde30a091602c245e385a7d681dcf250,0.12,0.13,0.06
cid22,3762075,512,512,7,202769,d2b83684cd476271aeefcd5bd8b57dc3bde30a091602c245e385a7d681dcf250,0.16,0.22,0.02
cid22,3762075,512,512,8,200901,d2b83684cd476271aeefcd5bd8b57dc3bde30a091602c245e385a7d681dcf250,0.57,0.61,0.05
cid22,3762075,512,512,9,199142,d2b83684cd476271aeefcd5bd8b57dc3bde30a091602c245e385a7d681dcf250,0.80,0.90,0.05
cid22,382297,512,512,5,368984,be94eee7a03b5cf2ecd9310f30cf6056a9a2647b8596aa6a7e84319e0afe936f,0.13,0.10,0.10
cid22,382297,512,512,6,366179,be94eee7a03b5cf2ecd9310f30cf6056a9a2647b8596aa6a7e84319e0afe936f,0.16,0.19,0.04
cid22,382297,512,512,7,363655,be94eee7a03b5cf2ecd9310f30cf6056a9a2647b8596aa6a7e84319e0afe936f,0.24,0.24,0.09
cid22,382297,512,512,8,361131,be94eee7a03b5cf2ecd9310f30cf6056a9a2647b8596aa6a7e84319e0afe936f,0.70,0.71,0.09
cid22,382297,512,512,9,359063,be94eee7a03b5cf2ecd9310f30cf6056a9a2647b8596aa6a7e84319e0afe936f,1.04,1.04,0.15
cid22,4215100,512,512,5,231193,1b731c8d1e61145d6b8f697af5360383eec07df85a159a8bf6e2982ab1bb3d78,0.10,0.12,0.04
cid22,4215100,512,512,6,224227,1b731c8d1e61145d6b8f697af5360383eec07df85a159a8bf6e2982ab1bb3d78,0.11,0.15,0.03
cid22,4215100,512,512,7,222494,1b731c8d1e61145d6b8f697af5360383eec07df85a159a8bf6e2982ab1bb3d78,0.16,0.15,0.09
cid22,4215100,512,512,8,221357,1b731c8d1e61145d6b8f697af5360383eec07df85a159a8bf6e2982ab1bb3d78,0.65,0.70,0.05
cid22,4215100,512,512,9,218689,1b731c8d1e61145d6b8f697af5360383eec07df85a159a8bf6e2982ab1bb3d78,0.88,0.96,0.06
cid22,5055743,512,512,5,245755,bab3fb50b138ca19e0b060de40c19567851a9718cc370c4402f47cbc08e0c57a,0.09,0.07,0.09
cid22,5055743,512,512,6,242935,bab3fb50b138ca19e0b060de40c19567851a9718cc370c4402f47cbc08e0c57a,0.12,0.10,0.10
cid22,5055743,512,512,7,240029,bab3fb50b138ca19e0b060de40c19567851a9718cc370c4402f47cbc08e0c57a,0.19,0.20,0.08
cid22,5055743,512,512,8,237708,bab3fb50b138ca19e0b060de40c19567851a9718cc370c4402f47cbc08e0c57a,0.70,0.68,0.13
cid22,5055743,512,512,9,237289,bab3fb50b138ca19e0b060de40c19567851a9718cc370c4402f47cbc08e0c57a,0.91,0.99,0.08
cid22,5458393,512,512,5,368601,f0a707ef895d2a022cce83bcfab8109524c1268ff8d51c3c252455aea3ac1979,0.10,0.15,0.02
cid22,5458393,512,512,6,364524,f0a707ef895d2a022cce83bcfab8109524c1268ff8d51c3c252455aea3ac1979,0.15,0.15,0.07
cid22,5458393,512,512,7,361661,f0a707ef895d2a022cce83bcfab8109524c1268ff8d51c3c252455aea3ac1979,0.21,0.19,0.10
cid22,5458393,512,512,8,359443,f0a707ef895d2a022cce83bcfab8109524c1268ff8d51c3c252455aea3ac1979,0.70,0.73,0.08
cid22,5458393,512,512,9,356306,f0a707ef895d2a022cce83bcfab8109524c1268ff8d51c3c252455aea3ac1979,0.94,1.04,0.05
cid22,6078297,512,512,5,209952,a4a185a649819a3db28574f2a2c821ce2616d4cf4964d2b2cf675e2e7296e3b1,0.08,0.07,0.08
cid22,6078297,512,512,6,204960,a4a185a649819a3db28574f2a2c821ce2616d4cf4964d2b2cf675e2e7296e3b1,0.10,0.11,0.06
cid22,6078297,512,512,7,197412,a4a185a649819a3db28574f2a2c821ce2616d4cf4964d2b2cf675e2e7296e3b1,0.17,0.14,0.10
cid22,6078297,512,512,8,191744,a4a185a649819a3db28574f2a2c821ce2616d4cf4964d2b2cf675e2e7296e3b1,0.72,0.71,0.12
cid22,6078297,512,512,9,191200,a4a185a649819a3db28574f2a2c821ce2616d4cf4964d2b2cf675e2e7296e3b1,0.90,0.97,0.09
cid22,6292444,512,512,5,213550,a0e7bd3a655b8a9594afa5f2c23f4b6e61c585014a1520bd02ec7145763be1b0,0.11,0.14,0.03
cid22,6292444,512,512,6,209225,a0e7bd3a655b8a9594afa5f2c23f4b6e61c585014a1520bd02ec7145763be1b0,0.13,0.11,0.09
cid22,6292444,512,512,7,206833,a0e7bd3a655b8a9594afa5f2c23f4b6e61c585014a1520bd02ec7145763be1b0,0.18,0.21,0.05
cid22,6292444,512,512,8,204356,a0e7bd3a655b8a9594afa5f2c23f4b6e61c585014a1520bd02ec7145763be1b0,0.70,0.72,0.08
cid22,6292444,512,512,9,201445,a0e7bd3a655b8a9594afa5f2c23f4b6e61c585014a1520bd02ec7145763be1b0,0.94,1.02,0.07
cid22,70497,512,512,5,275988,ef2edb0e988af22ddcb80392797a954bebe6ece226a77a8c9ea16a42825777f4,0.10,0.14,0.03
cid22,70497,512,512,6,273500,ef2edb0e988af22ddcb80392797a954bebe6ece226a77a8c9ea16a42825777f4,0.12,0.15,0.06
cid22,70497,512,512,7,272144,ef2edb0e988af22ddcb80392797a954bebe6ece226a77a8c9ea16a42825777f4,0.19,0.20,0.06
cid22,70497,512,512,8,270163,ef2edb0e988af22ddcb80392797a954bebe6ece226a77a8c9ea16a42825777f4,0.67,0.73,0.05
cid22,70497,512,512,9,269340,ef2edb0e988af22ddcb80392797a954bebe6ece226a77a8c9ea16a42825777f4,0.87,0.87,0.15
cid22,7062219,512,512,5,294966,b80da06182765d8cf73f2f8cc34293f95dbf1b5c41de4d4b2b03c6f543f94ad8,0.10,0.08,0.09
cid22,7062219,512,512,6,290771,b80da06182765d8cf73f2f8cc34293f95dbf1b5c41de4d4b2b03c6f543f94ad8,0.14,0.12,0.10
cid22,7062219,512,512,7,288500,b80da06182765d8cf73f2f8cc34293f95dbf1b5c41de4d4b2b03c6f543f94ad8,0.21,0.23,0.06
cid22,7062219,512,512,8,284566,b80da06182765d8cf73f2f8cc34293f95dbf1b5c41de4d4b2b03c6f543f94ad8,0.70,0.77,0.04
cid22,7062219,512,512,9,282577,b80da06182765d8cf73f2f8cc34293f95dbf1b5c41de4d4b2b03c6f543f94ad8,0.96,0.99,0.13
cid22,7552578,512,512,5,136615,7be25dfaf6320ccd673951ececfe368bf94a1d1cb5108e2b2e8399f4e2296c43,0.09,0.08,0.07
